id,mine_id,borehole_id,latitude,longitude,depth_m,mn_grade_percent,fe_grade_percent,sio2_percent,p_percent,bulk_density_t_m3,rock_type,formation,core_recovery_percent,drill_date
47,2,BH-BAL-002,21.834192,80.243129,101.4,48.49,5.32,10.18,0.139,3.92,Braunite-Gondite Ore,Mansar Formation (Main Mn Ore Horizon),97.2,2022-02-13
48,2,BH-BAL-003,21.865841,80.225408,187.0,35.03,10.15,15.32,0.149,3.55,Manganiferous Quartzite,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),84.7,2024-05-28
49,2,BH-BAL-004,21.852451,80.241356,212.6,34.28,8.99,17.38,0.178,3.36,Quartz-Muscovite Schist (Hanging Wall),Sitasaongi Formation (Quartz-Muscovite Schist),97.1,2022-02-11
50,2,BH-BAL-005,21.862333,80.230282,30.6,42.76,7.7,10.4,0.174,3.81,Braunite-Gondite Ore,Bichua Formation (Dolomitic Marble),94.5,2022-12-13
51,2,BH-BAL-006,21.847329,80.221706,124.2,41.96,8.19,12.95,0.15,3.63,Quartz-Muscovite Schist (Hanging Wall),Chorbaoli Formation (Quartzite/Schist),89.0,2025-02-11
52,2,BH-BAL-007,21.848457,80.238393,122.0,44.31,6.85,10.04,0.175,3.7,Calc-Silicate Granulite (Footwall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),87.2,2022-05-18
53,2,BH-BAL-008,21.832755,80.239301,185.3,40.03,10.47,14.06,0.177,3.6,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),85.4,2025-06-22
54,2,BH-BAL-009,21.850321,80.215545,68.0,48.79,6.09,12.43,0.17,3.8,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),89.8,2025-04-02
55,2,BH-BAL-010,21.840481,80.23257,64.3,46.35,7.45,10.82,0.148,3.79,Manganiferous Quartzite,Sitasaongi Formation (Quartz-Muscovite Schist),90.9,2022-12-06
56,2,BH-BAL-011,21.840773,80.213011,102.2,49.35,6.18,8.18,0.136,3.82,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),83.9,2024-01-03
57,2,BH-BAL-012,21.853206,80.243965,209.9,34.56,10.21,16.34,0.145,3.42,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),85.6,2022-01-03
58,2,BH-BAL-013,21.842239,80.242654,77.0,47.93,6.5,9.53,0.15,3.86,Lateritic Manganese Capping,Sitasaongi Formation (Quartz-Muscovite Schist),83.6,2021-01-26
59,2,BH-BAL-014,21.861318,80.223092,132.7,38.21,10.02,15.04,0.164,3.7,Braunite-Gondite Ore,Bichua Formation (Dolomitic Marble),92.1,2021-04-20
60,2,BH-BAL-015,21.851813,80.223649,46.1,47.32,7.96,6.63,0.15,3.87,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),85.6,2023-12-07
61,2,BH-BAL-016,21.866286,80.212239,93.0,50.26,5.37,7.77,0.128,3.88,Psilomelane-Pyrolusite Matrix,Chorbaoli Formation (Quartzite/Schist),86.2,2021-06-16
62,2,BH-BAL-017,21.853099,80.219152,47.2,48.15,6.81,10.96,0.169,3.86,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),93.3,2024-12-10
63,2,BH-BAL-018,21.838843,80.212799,191.2,37.09,10.51,15.02,0.193,3.47,Psilomelane-Pyrolusite Matrix,Chorbaoli Formation (Quartzite/Schist),96.5,2025-08-20
64,2,BH-BAL-019,21.864885,80.224477,44.2,45.63,9.38,12.64,0.121,3.71,Quartz-Muscovite Schist (Hanging Wall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),93.2,2022-07-12
65,2,BH-BAL-020,21.83501,80.243296,117.6,42.78,8.33,14.6,0.162,3.7,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),97.2,2025-04-16
66,2,BH-BAL-021,21.855176,80.241646,152.8,39.56,9.3,14.71,0.158,3.56,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),89.0,2025-07-26
67,2,BH-BAL-022,21.856694,80.219043,115.8,46.11,7.85,9.91,0.171,3.85,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),82.6,2021-06-30
68,2,BH-BAL-023,21.867294,80.232343,79.5,48.29,5.13,14.54,0.137,3.91,Calc-Silicate Granulite (Footwall),Sitasaongi Formation (Quartz-Muscovite Schist),88.6,2022-01-20
69,2,BH-BAL-024,21.842091,80.240377,121.3,40.94,7.92,13.03,0.155,3.68,Quartz-Muscovite Schist (Hanging Wall),Mansar Formation (Main Mn Ore Horizon),82.5,2024-07-14
70,2,BH-BAL-025,21.835078,80.244388,139.8,40.96,8.94,14.62,0.132,3.65,Braunite-Gondite Ore,Sitasaongi Formation (Quartz-Muscovite Schist),97.2,2024-08-19
71,2,BH-BAL-026,21.840496,80.228513,185.6,31.64,11.89,16.33,0.16,3.57,Quartz-Muscovite Schist (Hanging Wall),Chorbaoli Formation (Quartzite/Schist),96.7,2023-11-07
72,2,BH-BAL-027,21.843958,80.237025,168.0,30.44,12.56,18.82,0.173,3.28,Manganiferous Quartzite,Mansar Formation (Main Mn Ore Horizon),86.5,2022-09-04
73,3,BH-CHI-001,21.538636,79.769472,133.9,36.28,8.36,13.72,0.162,3.5,Psilomelane-Pyrolusite Matrix,Chorbaoli Formation (Quartzite/Schist),91.1,2022-04-24
74,3,BH-CHI-002,21.53878,79.771472,190.5,37.69,9.05,15.88,0.116,3.63,Lateritic Manganese Capping,Chorbaoli Formation (Quartzite/Schist),89.9,2021-03-17
75,3,BH-CHI-003,21.525609,79.741079,40.9,47.72,6.5,13.33,0.176,3.99,Lateritic Manganese Capping,Chorbaoli Formation (Quartzite/Schist),83.2,2025-05-20
76,3,BH-CHI-004,21.55574,79.766825,213.7,36.91,9.22,17.74,0.141,3.46,Quartz-Muscovite Schist (Hanging Wall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),92.0,2025-04-05
77,3,BH-CHI-005,21.52831,79.771109,115.0,39.16,9.04,14.64,0.187,3.63,Lateritic Manganese Capping,Mansar Formation (Main Mn Ore Horizon),89.1,2024-11-22
78,3,BH-CHI-006,21.540561,79.74468,76.4,49.9,7.08,9.83,0.162,3.92,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),92.9,2022-01-04
79,3,BH-CHI-007,21.541657,79.745032,49.8,50.5,7.0,8.3,0.131,3.95,Manganiferous Quartzite,Mansar Formation (Main Mn Ore Horizon),96.4,2023-08-11
80,3,BH-CHI-008,21.546209,79.758891,199.7,33.11,11.1,16.15,0.143,3.52,Quartz-Muscovite Schist (Hanging Wall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),89.3,2022-09-11
81,3,BH-CHI-009,21.535684,79.771095,55.8,45.44,8.37,11.74,0.175,3.57,Lateritic Manganese Capping,Sitasaongi Formation (Quartz-Muscovite Schist),86.4,2024-03-05
82,3,BH-CHI-010,21.555038,79.768395,192.3,30.41,12.84,13.54,0.182,3.36,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),94.8,2022-03-25
83,3,BH-CHI-011,21.557579,79.759157,145.5,34.47,9.73,16.01,0.131,3.59,Manganiferous Quartzite,Sitasaongi Formation (Quartz-Muscovite Schist),82.5,2023-01-18
84,3,BH-CHI-012,21.529814,79.755308,165.1,32.18,12.55,18.33,0.166,3.42,Manganiferous Quartzite,Bichua Formation (Dolomitic Marble),90.0,2022-07-13
85,3,BH-CHI-013,21.529202,79.770553,185.2,33.95,13.37,13.48,0.158,3.51,Psilomelane-Pyrolusite Matrix,Chorbaoli Formation (Quartzite/Schist),95.8,2025-01-23
86,3,BH-CHI-014,21.539261,79.74541,153.3,33.98,9.27,18.8,0.159,3.5,Braunite-Gondite Ore,Sitasaongi Formation (Quartz-Muscovite Schist),87.9,2025-03-14
87,3,BH-CHI-015,21.556888,79.7561,152.8,32.29,10.54,18.27,0.162,3.48,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),92.4,2024-07-25
88,3,BH-CHI-016,21.559121,79.746846,183.9,34.76,11.73,15.53,0.15,3.56,Quartz-Muscovite Schist (Hanging Wall),Mansar Formation (Main Mn Ore Horizon),83.6,2024-01-06
89,3,BH-CHI-017,21.530619,79.750825,42.8,42.28,8.98,12.79,0.104,3.6,Braunite-Gondite Ore,Sitasaongi Formation (Quartz-Muscovite Schist),91.9,2022-07-27
90,3,BH-CHI-018,21.528633,79.760573,21.7,43.87,7.07,13.67,0.192,3.7,Calc-Silicate Granulite (Footwall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),83.0,2022-07-20
91,3,BH-CHI-019,21.525825,79.764214,53.9,50.5,7.46,6.73,0.145,3.84,Psilomelane-Pyrolusite Matrix,Chorbaoli Formation (Quartzite/Schist),94.6,2022-02-25
92,3,BH-CHI-020,21.536884,79.741201,29.1,40.7,9.05,12.46,0.16,3.83,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),86.4,2021-10-24
93,3,BH-CHI-021,21.55344,79.757088,217.4,29.34,12.07,21.58,0.2,3.46,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),86.2,2021-09-17
94,3,BH-CHI-022,21.543533,79.739815,167.1,36.77,8.27,14.97,0.123,3.6,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),97.1,2021-03-30
95,3,BH-CHI-023,21.555559,79.751235,164.1,38.33,8.78,13.93,0.182,3.9,Braunite-Gondite Ore,Sitasaongi Formation (Quartz-Muscovite Schist),93.4,2023-06-28
96,3,BH-CHI-024,21.547847,79.75563,30.1,45.28,8.95,12.82,0.167,3.81,Manganiferous Quartzite,Sitasaongi Formation (Quartz-Muscovite Schist),97.9,2023-12-23
97,3,BH-CHI-025,21.544904,79.767047,75.5,45.54,7.38,11.74,0.14,3.7,Quartz-Muscovite Schist (Hanging Wall),Sitasaongi Formation (Quartz-Muscovite Schist),96.2,2023-04-28
98,3,BH-CHI-026,21.549,79.749364,84.5,43.32,6.95,13.04,0.17,3.79,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),83.1,2025-08-31
99,3,BH-CHI-027,21.545277,79.760009,32.5,40.23,9.95,13.23,0.161,3.85,Quartz-Muscovite Schist (Hanging Wall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),96.0,2025-03-17
100,3,BH-CHI-028,21.528786,79.754156,101.7,47.37,7.18,10.39,0.142,3.9,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),85.6,2021-08-10
101,3,BH-CHI-029,21.552684,79.758271,86.8,46.15,7.03,11.0,0.162,3.71,Lateritic Manganese Capping,Bichua Formation (Dolomitic Marble),82.4,2024-09-09
102,3,BH-CHI-030,21.53729,79.736109,185.0,35.54,10.54,17.14,0.158,3.49,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),92.5,2021-05-23
103,3,BH-CHI-031,21.538378,79.761866,44.1,45.64,7.17,11.43,0.135,3.73,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),83.4,2021-04-18
104,3,BH-CHI-032,21.540321,79.757744,46.9,47.59,6.78,10.01,0.164,3.88,Quartz-Muscovite Schist (Hanging Wall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),85.4,2023-11-16
105,3,BH-CHI-033,21.539285,79.757465,38.3,43.23,8.58,11.64,0.128,3.73,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),86.8,2022-03-09
106,3,BH-CHI-034,21.54056,79.74054,172.3,34.05,11.19,15.2,0.175,3.58,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),90.0,2025-09-03
107,3,BH-CHI-035,21.536326,79.751343,151.9,34.87,11.8,16.21,0.139,3.51,Quartz-Muscovite Schist (Hanging Wall),Sitasaongi Formation (Quartz-Muscovite Schist),86.6,2023-04-10
108,3,BH-CHI-036,21.558168,79.739062,19.3,41.64,7.7,16.15,0.133,3.6,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),89.0,2023-04-01
109,3,BH-CHI-037,21.529161,79.754247,122.4,39.35,10.04,13.43,0.169,3.69,Manganiferous Quartzite,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),93.6,2025-08-05
110,3,BH-CHI-038,21.530559,79.763218,147.3,39.56,9.68,14.87,0.157,3.7,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),97.2,2024-07-10
111,3,BH-CHI-039,21.547539,79.767002,116.3,42.38,6.41,9.05,0.157,3.61,Lateritic Manganese Capping,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),84.4,2021-05-20
112,3,BH-CHI-040,21.527727,79.752512,111.1,41.88,7.15,10.79,0.131,3.66,Braunite-Gondite Ore,Mansar Formation (Main Mn Ore Horizon),87.9,2022-08-11
113,3,BH-CHI-041,21.553561,79.768141,30.7,46.88,5.22,9.3,0.128,3.73,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),92.4,2022-10-21
114,3,BH-CHI-042,21.555202,79.771255,139.0,38.87,6.54,14.47,0.121,3.68,Braunite-Gondite Ore,Bichua Formation (Dolomitic Marble),92.3,2021-03-22
115,3,BH-CHI-043,21.539772,79.74807,65.8,45.75,7.85,10.36,0.144,3.75,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),94.6,2024-08-18
116,4,BH-MUN-001,21.407025,79.295461,28.5,39.01,11.01,15.96,0.153,3.76,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),83.3,2024-09-21
117,4,BH-MUN-002,21.394534,79.276393,44.0,36.17,12.97,15.15,0.139,3.41,Manganiferous Quartzite,Chorbaoli Formation (Quartzite/Schist),92.7,2025-08-25
118,4,BH-MUN-003,21.401695,79.263489,209.2,25.99,16.33,20.23,0.195,3.39,Manganiferous Quartzite,Chorbaoli Formation (Quartzite/Schist),97.2,2022-12-01
119,4,BH-MUN-004,21.41114,79.292897,209.3,27.52,13.27,20.08,0.176,3.38,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),92.6,2025-11-30
120,4,BH-MUN-005,21.411149,79.291959,172.1,29.22,13.44,20.13,0.19,3.53,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),82.7,2023-01-17
121,4,BH-MUN-006,21.39453,79.291943,153.7,31.68,13.16,17.09,0.195,3.37,Quartz-Muscovite Schist (Hanging Wall),Chorbaoli Formation (Quartzite/Schist),87.9,2024-03-14
122,4,BH-MUN-007,21.418175,79.292241,216.8,30.24,11.38,18.74,0.149,3.49,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),96.0,2021-04-17
123,4,BH-MUN-008,21.410861,79.272653,146.4,34.45,9.89,19.28,0.191,3.57,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),95.3,2021-07-07
124,4,BH-MUN-009,21.385306,79.280905,209.0,27.66,13.38,21.49,0.171,3.38,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),97.9,2023-02-07
125,4,BH-MUN-010,21.416415,79.279841,61.0,41.25,9.3,13.08,0.135,3.7,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),89.2,2021-01-11
126,4,BH-MUN-011,21.405309,79.27807,200.7,29.94,13.25,18.68,0.195,3.57,Manganiferous Quartzite,Chorbaoli Formation (Quartzite/Schist),86.8,2021-04-08
127,4,BH-MUN-012,21.406139,79.283535,63.9,39.61,8.04,17.34,0.178,3.55,Lateritic Manganese Capping,Chorbaoli Formation (Quartzite/Schist),86.7,2021-01-04
128,4,BH-MUN-013,21.418477,79.265269,141.0,32.88,11.55,19.07,0.163,3.46,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),90.1,2023-11-06
129,4,BH-MUN-014,21.411776,79.275246,128.6,32.5,12.46,14.04,0.113,3.48,Lateritic Manganese Capping,Mansar Formation (Main Mn Ore Horizon),94.3,2025-02-14
130,4,BH-MUN-015,21.413283,79.287482,170.1,30.73,12.91,19.42,0.153,3.53,Lateritic Manganese Capping,Sitasaongi Formation (Quartz-Muscovite Schist),92.1,2025-07-20
131,4,BH-MUN-016,21.39475,79.273996,42.6,38.55,6.85,15.83,0.163,3.67,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),89.6,2021-03-16
132,4,BH-MUN-017,21.395338,79.267314,169.4,25.28,14.32,22.0,0.183,3.15,Manganiferous Quartzite,Sitasaongi Formation (Quartz-Muscovite Schist),96.2,2025-03-03
133,4,BH-MUN-018,21.392991,79.265807,105.1,40.81,8.65,14.7,0.185,3.58,Quartz-Muscovite Schist (Hanging Wall),Mansar Formation (Main Mn Ore Horizon),88.9,2025-08-12
134,4,BH-MUN-019,21.399442,79.288669,52.0,44.3,7.67,12.87,0.144,3.82,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),87.6,2021-03-28
135,4,BH-MUN-020,21.407552,79.277457,164.0,33.58,10.38,14.53,0.168,3.51,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),97.2,2021-10-20
136,4,BH-MUN-021,21.406615,79.27587,189.0,28.76,12.23,17.32,0.174,3.43,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),91.7,2024-10-22
137,4,BH-MUN-022,21.393422,79.297412,107.2,36.41,11.29,16.48,0.166,3.53,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),90.0,2023-03-04
138,4,BH-MUN-023,21.405417,79.287816,202.3,30.98,13.62,20.16,0.166,3.39,Quartz-Muscovite Schist (Hanging Wall),Chorbaoli Formation (Quartzite/Schist),84.0,2025-10-13
139,4,BH-MUN-024,21.407431,79.288376,30.2,39.68,10.98,17.43,0.163,3.88,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),86.6,2022-09-07
140,4,BH-MUN-025,21.401704,79.267202,189.5,28.09,12.36,15.36,0.135,3.27,Psilomelane-Pyrolusite Matrix,Chorbaoli Formation (Quartzite/Schist),85.8,2023-10-09
141,4,BH-MUN-026,21.394523,79.298818,20.4,33.9,10.77,17.5,0.14,3.49,Lateritic Manganese Capping,Sitasaongi Formation (Quartz-Muscovite Schist),90.4,2025-04-25
142,4,BH-MUN-027,21.400159,79.281458,98.9,38.9,9.0,14.07,0.152,3.66,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),92.2,2022-01-08
