id,mine_id,date,satellite_platform,ndvi,ndmi_moisture,lst_celsius,iron_oxide_ratio_b4_b2,clay_mineral_index_b11_b12,ferrous_iron_index,mn_mineralization_probability
61,2,2026-04-20,Sentinel-2 MSI,0.2248,0.1012,45.9,1.763,1.422,1.484,0.624
62,2,2026-05-20,Landsat-8 OLI/TIRS,0.1747,0.1238,42.2,1.855,1.721,1.346,0.749
63,2,2026-06-19,Sentinel-2 MSI,0.4461,0.1802,32.1,1.363,1.389,1.487,0.516
64,2,2026-07-19,Landsat-8 OLI/TIRS,0.6969,0.4572,28.4,1.766,1.212,1.664,0.569
65,3,2024-01-01,Sentinel-2 MSI,0.3694,0.2436,32.0,1.762,1.741,1.47,0.692
66,3,2024-01-31,Landsat-8 OLI/TIRS,0.4125,0.2234,30.2,1.398,1.219,1.607,0.512
67,3,2024-03-01,Sentinel-2 MSI,0.1569,0.1505,46.5,1.522,1.655,1.372,0.705
68,3,2024-03-31,Landsat-8 OLI/TIRS,0.2429,0.0525,45.2,2.05,1.433,1.172,0.63
69,3,2024-04-30,Sentinel-2 MSI,0.2179,0.1494,43.0,1.818,1.934,1.308,0.735
70,3,2024-05-30,Landsat-8 OLI/TIRS,0.2142,0.1054,43.8,1.35,1.317,1.161,0.518
71,3,2024-06-29,Sentinel-2 MSI,0.4355,0.2008,37.7,2.183,1.415,1.569,0.644
72,3,2024-07-29,Landsat-8 OLI/TIRS,0.6986,0.5637,32.3,1.195,1.515,1.354,0.452
73,3,2024-08-28,Sentinel-2 MSI,0.5412,0.434,26.4,1.789,1.809,0.967,0.571
74,3,2024-09-27,Landsat-8 OLI/TIRS,0.5707,0.381,28.8,1.875,1.363,1.222,0.51
75,3,2024-10-27,Sentinel-2 MSI,0.4799,0.2104,30.1,2.125,1.363,1.483,0.65
76,3,2024-11-26,Landsat-8 OLI/TIRS,0.4143,0.3173,37.5,1.595,1.492,1.338,0.584
77,3,2024-12-26,Sentinel-2 MSI,0.4025,0.2706,37.3,2.29,1.219,1.59,0.665
78,3,2025-01-25,Landsat-8 OLI/TIRS,0.4257,0.2985,34.9,1.621,1.732,1.308,0.703
79,3,2025-02-24,Sentinel-2 MSI,0.4114,0.2354,36.1,1.814,1.726,1.157,0.563
80,3,2025-03-26,Landsat-8 OLI/TIRS,0.1211,0.1583,46.4,1.42,1.587,1.521,0.644
81,3,2025-04-25,Sentinel-2 MSI,0.2078,0.1421,47.7,1.399,1.351,1.179,0.58
82,3,2025-05-25,Landsat-8 OLI/TIRS,0.1474,0.1034,47.6,0.929,1.588,1.257,0.63
83,3,2025-06-24,Sentinel-2 MSI,0.4394,0.2493,30.3,1.311,1.348,1.871,0.596
84,3,2025-07-24,Landsat-8 OLI/TIRS,0.5397,0.4171,26.3,1.685,1.545,1.612,0.532
85,3,2025-08-23,Sentinel-2 MSI,0.6246,0.4998,28.7,1.461,1.101,1.718,0.54
86,3,2025-09-22,Landsat-8 OLI/TIRS,0.626,0.3774,31.9,2.215,1.623,1.697,0.59
87,3,2025-10-22,Sentinel-2 MSI,0.3013,0.2275,37.0,1.483,1.567,1.54,0.659
88,3,2025-11-21,Landsat-8 OLI/TIRS,0.471,0.2419,31.7,1.3,1.726,1.447,0.622
89,3,2025-12-21,Sentinel-2 MSI,0.4568,0.2501,30.9,1.455,0.985,1.59,0.522
90,3,2026-01-20,Landsat-8 OLI/TIRS,0.4442,0.1969,30.4,1.891,1.619,1.736,0.649
91,3,2026-02-19,Sentinel-2 MSI,0.3067,0.2466,37.3,1.614,2.013,1.046,0.673
92,3,2026-03-21,Landsat-8 OLI/TIRS,0.216,0.0537,41.7,1.31,1.181,2.071,0.619
93,3,2026-04-20,Sentinel-2 MSI,0.1411,0.0853,45.4,1.143,1.502,1.492,0.64
94,3,2026-05-20,Landsat-8 OLI/TIRS,0.2748,0.1196,44.4,1.505,1.542,1.335,0.608
95,3,2026-06-19,Sentinel-2 MSI,0.3177,0.2397,36.9,1.921,1.376,1.173,0.643
96,3,2026-07-19,Landsat-8 OLI/TIRS,0.6529,0.4585,29.5,1.77,1.779,1.405,0.579
97,4,2024-01-01,Sentinel-2 MSI,0.4568,0.2173,36.2,2.057,1.577,1.681,0.551
98,4,2024-01-31,Landsat-8 OLI/TIRS,0.3846,0.1921,32.9,2.233,2.056,1.647,0.818
99,4,2024-03-01,Sentinel-2 MSI,0.1211,0.052,47.2,1.894,1.147,1.406,0.79
100,4,2024-03-31,Landsat-8 OLI/TIRS,0.1359,0.0959,42.1,2.484,1.869,1.687,0.873
101,4,2024-04-30,Sentinel-2 MSI,0.1254,0.0438,46.1,1.674,1.656,1.538,0.694
102,4,2024-05-30,Landsat-8 OLI/TIRS,0.2528,0.1316,43.7,2.536,1.833,1.782,0.829
103,4,2024-06-29,Sentinel-2 MSI,0.4264,0.2203,30.4,1.856,1.803,2.276,0.746
104,4,2024-07-29,Landsat-8 OLI/TIRS,0.6878,0.5587,26.1,2.231,1.433,1.312,0.529
105,4,2024-08-28,Sentinel-2 MSI,0.6907,0.4741,31.0,1.795,2.002,1.674,0.631
106,4,2024-09-27,Landsat-8 OLI/TIRS,0.6847,0.4142,28.9,1.995,1.563,1.686,0.612
107,4,2024-10-27,Sentinel-2 MSI,0.4437,0.2935,36.1,1.807,1.747,1.9,0.75
108,4,2024-11-26,Landsat-8 OLI/TIRS,0.4185,0.2554,37.4,2.132,2.344,1.711,0.815
109,4,2024-12-26,Sentinel-2 MSI,0.4454,0.2268,37.9,2.122,1.99,1.985,0.786
110,4,2025-01-25,Landsat-8 OLI/TIRS,0.3212,0.262,34.7,2.923,1.792,1.888,0.868
111,4,2025-02-24,Sentinel-2 MSI,0.2945,0.2562,34.7,2.328,1.881,1.528,0.8
112,4,2025-03-26,Landsat-8 OLI/TIRS,0.2061,0.0789,43.3,1.732,1.696,1.721,0.71
113,4,2025-04-25,Sentinel-2 MSI,0.2518,0.0811,42.0,2.181,2.328,2.004,0.879
114,4,2025-05-25,Landsat-8 OLI/TIRS,0.2495,0.1283,43.2,2.215,2.164,1.847,0.854
115,4,2025-06-24,Sentinel-2 MSI,0.4453,0.2287,30.5,1.741,1.664,1.659,0.589
116,4,2025-07-24,Landsat-8 OLI/TIRS,0.6238,0.5295,32.4,1.736,1.732,1.859,0.591
117,4,2025-08-23,Sentinel-2 MSI,0.687,0.571,27.5,2.029,1.961,1.981,0.632
118,4,2025-09-22,Landsat-8 OLI/TIRS,0.5539,0.381,26.1,1.684,1.759,1.946,0.664
119,4,2025-10-22,Sentinel-2 MSI,0.3968,0.2285,37.9,1.86,1.306,2.045,0.676
120,4,2025-11-21,Landsat-8 OLI/TIRS,0.4246,0.2854,36.7,2.159,1.852,1.257,0.753
121,4,2025-12-21,Sentinel-2 MSI,0.3011,0.2038,37.0,1.921,1.921,2.333,0.833
122,4,2026-01-20,Landsat-8 OLI/TIRS,0.3965,0.2534,34.5,2.411,1.712,2.148,0.824
123,4,2026-02-19,Sentinel-2 MSI,0.3921,0.2026,32.7,1.99,2.131,1.493,0.789
124,4,2026-03-21,Landsat-8 OLI/TIRS,0.1802,0.1393,45.4,2.199,2.074,1.864,0.846
125,4,2026-04-20,Sentinel-2 MSI,0.216,0.0912,44.0,2.472,1.681,1.752,0.836
126,4,2026-05-20,Landsat-8 OLI/TIRS,0.218,0.1501,47.7,1.937,1.796,1.83,0.696
127,4,2026-06-19,Sentinel-2 MSI,0.3957,0.1963,32.8,1.908,1.391,1.266,0.642
128,4,2026-07-19,Landsat-8 OLI/TIRS,0.5593,0.5403,28.3,1.982,1.715,1.461,0.609
129,5,2024-01-01,Sentinel-2 MSI,0.2832,0.2357,32.7,1.603,1.542,0.85,0.661
130,5,2024-01-31,Landsat-8 OLI/TIRS,0.354,0.3047,30.1,1.242,1.78,1.04,0.595
131,5,2024-03-01,Sentinel-2 MSI,0.1927,0.0827,45.1,1.379,1.598,1.305,0.61
132,5,2024-03-31,Landsat-8 OLI/TIRS,0.1899,0.1567,43.0,1.685,1.735,1.73,0.774
133,5,2024-04-30,Sentinel-2 MSI,0.2601,0.0912,46.0,1.563,1.156,1.277,0.586
134,5,2024-05-30,Landsat-8 OLI/TIRS,0.2183,0.1056,48.2,1.502,1.173,1.796,0.58
135,5,2024-06-29,Sentinel-2 MSI,0.3972,0.2556,34.6,1.528,1.529,1.855,0.63
136,5,2024-07-29,Landsat-8 OLI/TIRS,0.6432,0.4661,31.9,1.68,1.208,1.292,0.47
137,5,2024-08-28,Sentinel-2 MSI,0.5698,0.418,26.0,1.481,1.529,1.484,0.57
138,5,2024-09-27,Landsat-8 OLI/TIRS,0.5653,0.4561,28.0,1.804,1.238,1.295,0.589
139,5,2024-10-27,Sentinel-2 MSI,0.4774,0.2704,34.9,1.936,1.212,1.405,0.538
140,5,2024-11-26,Landsat-8 OLI/TIRS,0.3403,0.3013,34.9,1.326,1.186,1.514,0.552
141,5,2024-12-26,Sentinel-2 MSI,0.4539,0.2354,37.7,2.021,1.301,1.754,0.643
142,5,2025-01-25,Landsat-8 OLI/TIRS,0.4085,0.2696,33.7,1.463,0.999,1.493,0.545
143,5,2025-02-24,Sentinel-2 MSI,0.3311,0.1913,37.6,1.936,1.512,1.245,0.654
144,5,2025-03-26,Landsat-8 OLI/TIRS,0.121,0.0657,47.5,1.53,1.681,1.395,0.646
145,5,2025-04-25,Sentinel-2 MSI,0.2035,0.0772,43.6,1.864,1.578,1.138,0.695
146,5,2025-05-25,Landsat-8 OLI/TIRS,0.21,0.0997,46.4,1.145,1.489,1.611,0.622
147,5,2025-06-24,Sentinel-2 MSI,0.3629,0.3068,32.9,1.599,1.676,1.562,0.631
148,5,2025-07-24,Landsat-8 OLI/TIRS,0.6327,0.409,32.8,1.686,1.48,1.579,0.596
149,5,2025-08-23,Sentinel-2 MSI,0.6307,0.4744,31.0,2.408,1.783,1.244,0.653
150,5,2025-09-22,Landsat-8 OLI/TIRS,0.5781,0.4849,32.4,1.563,1.692,1.434,0.574
151,5,2025-10-22,Sentinel-2 MSI,0.338,0.2737,30.7,1.792,1.533,1.363,0.674
152,5,2025-11-21,Landsat-8 OLI/TIRS,0.3561,0.2043,36.9,1.461,1.502,1.4,0.597
153,5,2025-12-21,Sentinel-2 MSI,0.3805,0.2134,30.3,1.749,1.569,1.108,0.588
154,5,2026-01-20,Landsat-8 OLI/TIRS,0.4694,0.2261,36.2,1.206,1.23,1.448,0.473
155,5,2026-02-19,Sentinel-2 MSI,0.4384,0.2875,35.4,1.421,1.483,1.588,0.578
156,5,2026-03-21,Landsat-8 OLI/TIRS,0.2449,0.1121,43.4,1.576,1.498,1.713,0.675
157,5,2026-04-20,Sentinel-2 MSI,0.2342,0.0524,45.9,1.597,1.403,1.567,0.695
158,5,2026-05-20,Landsat-8 OLI/TIRS,0.189,0.0593,42.4,1.404,1.256,1.458,0.654
159,5,2026-06-19,Sentinel-2 MSI,0.4298,0.2194,31.9,1.269,1.196,1.553,0.573
160,5,2026-07-19,Landsat-8 OLI/TIRS,0.6863,0.5568,29.9,1.33,1.263,1.396,0.487
161,6,2024-01-01,Sentinel-2 MSI,0.3981,0.221,37.5,2.499,1.347,1.536,0.785
162,6,2024-01-31,Landsat-8 OLI/TIRS,0.4168,0.2933,32.7,2.377,2.039,2.31,0.831
163,6,2024-03-01,Sentinel-2 MSI,0.1789,0.0873,42.0,1.563,1.513,1.997,0.739
164,6,2024-03-31,Landsat-8 OLI/TIRS,0.2423,0.1538,41.4,1.719,1.54,1.482,0.709
165,6,2024-04-30,Sentinel-2 MSI,0.1618,0.1231,45.3,2.969,1.815,2.294,0.96
166,6,2024-05-30,Landsat-8 OLI/TIRS,0.2178,0.0761,44.6,2.2,1.318,1.798,0.765
167,6,2024-06-29,Sentinel-2 MSI,0.3509,0.297,32.5,2.12,1.611,1.051,0.625
168,6,2024-07-29,Landsat-8 OLI/TIRS,0.6637,0.3568,27.0,2.826,1.888,2.258,0.745
169,6,2024-08-28,Sentinel-2 MSI,0.5621,0.5012,28.3,2.117,1.373,1.522,0.599
170,6,2024-09-27,Landsat-8 OLI/TIRS,0.6552,0.4688,30.4,1.68,2.201,1.608,0.604
171,6,2024-10-27,Sentinel-2 MSI,0.3186,0.1869,37.8,2.212,1.776,1.607,0.747
172,6,2024-11-26,Landsat-8 OLI/TIRS,0.3809,0.1935,30.8,1.905,1.741,2.047,0.718
173,6,2024-12-26,Sentinel-2 MSI,0.2828,0.2878,35.4,2.088,1.358,1.787,0.651
174,6,2025-01-25,Landsat-8 OLI/TIRS,0.4091,0.2851,33.4,2.222,1.417,1.236,0.714
175,6,2025-02-24,Sentinel-2 MSI,0.4016,0.2347,36.7,1.98,1.816,1.947,0.77
176,6,2025-03-26,Landsat-8 OLI/TIRS,0.2614,0.0749,47.1,2.166,1.968,2.219,0.819
177,6,2025-04-25,Sentinel-2 MSI,0.2038,0.0914,45.7,1.946,1.517,2.021,0.777
178,6,2025-05-25,Landsat-8 OLI/TIRS,0.2431,0.0896,41.9,2.227,1.823,1.736,0.837
179,6,2025-06-24,Sentinel-2 MSI,0.4652,0.2457,31.5,1.852,1.655,2.112,0.706
180,6,2025-07-24,Landsat-8 OLI/TIRS,0.6507,0.5414,32.9,2.155,1.646,2.342,0.638
181,6,2025-08-23,Sentinel-2 MSI,0.577,0.3919,29.5,2.234,1.304,2.244,0.654
182,6,2025-09-22,Landsat-8 OLI/TIRS,0.5995,0.4132,30.7,2.44,1.671,1.514,0.681
183,6,2025-10-22,Sentinel-2 MSI,0.4662,0.2324,37.8,2.04,1.971,1.502,0.691
184,6,2025-11-21,Landsat-8 OLI/TIRS,0.4789,0.1812,37.4,2.365,1.48,2.484,0.763
185,6,2025-12-21,Sentinel-2 MSI,0.4394,0.2015,34.6,2.388,1.796,1.905,0.73
186,6,2026-01-20,Landsat-8 OLI/TIRS,0.3677,0.1811,33.8,2.18,2.051,1.985,0.823
187,6,2026-02-19,Sentinel-2 MSI,0.3129,0.2323,37.7,2.564,1.837,1.918,0.887
188,6,2026-03-21,Landsat-8 OLI/TIRS,0.1627,0.0789,41.6,2.294,1.319,2.013,0.886
189,6,2026-04-20,Sentinel-2 MSI,0.1789,0.1573,47.0,2.021,1.624,2.14,0.83
190,6,2026-05-20,Landsat-8 OLI/TIRS,0.1603,0.1413,43.0,3.1,1.35,2.301,0.96
191,6,2026-06-19,Sentinel-2 MSI,0.3129,0.2496,33.6,2.494,1.753,1.47,0.849
192,6,2026-07-19,Landsat-8 OLI/TIRS,0.6947,0.4792,31.4,1.795,1.391,1.844,0.512
193,7,2024-01-01,Sentinel-2 MSI,0.456,0.2523,34.5,2.019,1.595,1.796,0.697
194,7,2024-01-31,Landsat-8 OLI/TIRS,0.4066,0.3125,36.9,1.938,1.677,2.006,0.739
195,7,2024-03-01,Sentinel-2 MSI,0.2177,0.147,42.8,2.77,1.581,2.074,0.887
196,7,2024-03-31,Landsat-8 OLI/TIRS,0.2725,0.1471,47.3,1.97,1.648,1.947,0.745
197,7,2024-04-30,Sentinel-2 MSI,0.2505,0.0912,42.2,1.807,2.083,1.957,0.755
198,7,2024-05-30,Landsat-8 OLI/TIRS,0.1587,0.0528,46.4,1.999,1.743,1.659,0.713
199,7,2024-06-29,Sentinel-2 MSI,0.332,0.2749,34.1,2.032,1.59,1.433,0.69
200,7,2024-07-29,Landsat-8 OLI/TIRS,0.6382,0.4779,29.9,1.485,1.673,1.632,0.612
201,7,2024-08-28,Sentinel-2 MSI,0.5775,0.4462,30.7,2.968,1.771,2.12,0.837
202,7,2024-09-27,Landsat-8 OLI/TIRS,0.5495,0.4892,26.8,2.273,2.016,1.647,0.735
203,7,2024-10-27,Sentinel-2 MSI,0.4646,0.2667,31.1,1.288,1.966,1.796,0.66
204,7,2024-11-26,Landsat-8 OLI/TIRS,0.4766,0.183,37.5,2.258,1.64,2.114,0.789
205,7,2024-12-26,Sentinel-2 MSI,0.461,0.2435,31.7,2.29,1.829,1.921,0.746
206,7,2025-01-25,Landsat-8 OLI/TIRS,0.3083,0.2442,35.9,2.005,1.412,1.507,0.825
207,7,2025-02-24,Sentinel-2 MSI,0.4652,0.2587,33.7,2.14,1.342,1.517,0.634
208,7,2025-03-26,Landsat-8 OLI/TIRS,0.1338,0.0954,42.1,1.971,1.835,1.821,0.861
209,7,2025-04-25,Sentinel-2 MSI,0.1256,0.0688,45.7,1.871,1.558,1.793,0.78
210,7,2025-05-25,Landsat-8 OLI/TIRS,0.1834,0.0817,45.9,1.906,1.933,2.241,0.707
211,7,2025-06-24,Sentinel-2 MSI,0.3115,0.2208,32.8,1.926,1.884,1.483,0.699
212,7,2025-07-24,Landsat-8 OLI/TIRS,0.5373,0.3857,26.7,1.849,1.602,1.815,0.678
213,7,2025-08-23,Sentinel-2 MSI,0.7307,0.5087,32.0,1.626,1.915,1.701,0.594
214,7,2025-09-22,Landsat-8 OLI/TIRS,0.6899,0.3852,27.8,2.609,1.64,2.079,0.775
215,7,2025-10-22,Sentinel-2 MSI,0.4102,0.2607,31.4,2.462,1.688,2.054,0.772
216,7,2025-11-21,Landsat-8 OLI/TIRS,0.4671,0.2817,33.4,1.957,1.475,2.149,0.678
217,7,2025-12-21,Sentinel-2 MSI,0.31,0.2366,32.9,1.705,2.021,1.911,0.687
218,7,2026-01-20,Landsat-8 OLI/TIRS,0.4613,0.3196,33.0,1.974,1.766,1.738,0.696
219,7,2026-02-19,Sentinel-2 MSI,0.4555,0.2101,36.6,2.056,1.863,1.546,0.673
220,7,2026-03-21,Landsat-8 OLI/TIRS,0.244,0.0733,47.0,1.367,1.385,1.904,0.621
221,7,2026-04-20,Sentinel-2 MSI,0.2351,0.1129,47.7,2.078,1.467,2.2,0.849
222,7,2026-05-20,Landsat-8 OLI/TIRS,0.1888,0.0691,47.9,2.155,1.976,1.82,0.801
223,7,2026-06-19,Sentinel-2 MSI,0.4653,0.2106,37.3,1.843,1.464,1.627,0.626
224,7,2026-07-19,Landsat-8 OLI/TIRS,0.5674,0.5551,29.8,2.21,1.793,2.229,0.781
225,8,2024-01-01,Sentinel-2 MSI,0.4557,0.2845,36.1,1.465,1.114,1.938,0.608
226,8,2024-01-31,Landsat-8 OLI/TIRS,0.4208,0.3063,35.6,2.112,1.602,1.396,0.699
227,8,2024-03-01,Sentinel-2 MSI,0.1588,0.1323,45.5,2.062,1.381,1.136,0.687
228,8,2024-03-31,Landsat-8 OLI/TIRS,0.1684,0.1204,44.8,1.334,1.389,1.01,0.656
229,8,2024-04-30,Sentinel-2 MSI,0.216,0.0778,43.1,1.415,1.195,1.213,0.581
230,8,2024-05-30,Landsat-8 OLI/TIRS,0.2421,0.054,47.6,1.748,1.359,1.489,0.646
231,8,2024-06-29,Sentinel-2 MSI,0.3594,0.2624,30.9,1.966,1.394,1.776,0.58
232,8,2024-07-29,Landsat-8 OLI/TIRS,0.7305,0.4493,31.9,1.997,1.489,1.501,0.601
233,8,2024-08-28,Sentinel-2 MSI,0.5539,0.5225,26.0,1.339,1.743,1.522,0.619
234,8,2024-09-27,Landsat-8 OLI/TIRS,0.5772,0.5442,27.3,1.435,1.259,1.659,0.543
235,8,2024-10-27,Sentinel-2 MSI,0.3818,0.3123,30.8,2.183,1.157,1.564,0.675
236,8,2024-11-26,Landsat-8 OLI/TIRS,0.3607,0.2435,31.4,2.27,1.526,1.181,0.764
237,8,2024-12-26,Sentinel-2 MSI,0.4067,0.2049,37.7,1.183,1.113,1.716,0.527
238,8,2025-01-25,Landsat-8 OLI/TIRS,0.3855,0.2718,34.2,1.448,1.323,1.514,0.526
239,8,2025-02-24,Sentinel-2 MSI,0.4408,0.1899,35.2,1.688,1.601,1.61,0.589
240,8,2025-03-26,Landsat-8 OLI/TIRS,0.2418,0.0941,47.1,1.798,1.655,1.709,0.763
241,8,2025-04-25,Sentinel-2 MSI,0.1496,0.1001,47.8,1.981,1.351,1.577,0.65
242,8,2025-05-25,Landsat-8 OLI/TIRS,0.2496,0.1032,41.6,1.606,1.848,1.52,0.743
243,8,2025-06-24,Sentinel-2 MSI,0.3488,0.221,35.3,1.68,1.541,1.698,0.699
244,8,2025-07-24,Landsat-8 OLI/TIRS,0.569,0.4117,31.8,1.976,1.374,0.96,0.588
245,8,2025-08-23,Sentinel-2 MSI,0.5619,0.4412,32.7,1.367,1.058,1.368,0.406
246,8,2025-09-22,Landsat-8 OLI/TIRS,0.6554,0.4381,30.6,1.492,1.307,1.845,0.541
247,8,2025-10-22,Sentinel-2 MSI,0.4455,0.3077,32.9,1.878,1.604,1.407,0.667
248,8,2025-11-21,Landsat-8 OLI/TIRS,0.3808,0.2861,30.2,1.877,1.629,1.599,0.674
249,8,2025-12-21,Sentinel-2 MSI,0.4183,0.285,37.5,1.837,1.39,1.037,0.629
250,8,2026-01-20,Landsat-8 OLI/TIRS,0.4462,0.2217,32.2,1.739,1.637,1.37,0.63
251,8,2026-02-19,Sentinel-2 MSI,0.4299,0.2074,36.4,1.66,1.32,1.655,0.55
252,8,2026-03-21,Landsat-8 OLI/TIRS,0.1332,0.062,48.1,1.378,1.327,1.337,0.648
